Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4
Albania,ALB,7888,7868.5,7849,7829.5,7810,7790.5,7771,7751.5,7732,7712.5,7693,7705.77,7718.54,7731.31,7744.08,7756.85,7769.62,7782.39,7795.16,7807.93,7820.7,7834.935,7849.17,7863.405,7877.64,7891.875,7891.8,7889.025,7889,7889,7889,7889
Algeria,DZA,16670,16582,16494,16406,16318,16230,16142,16054,15966,15878,15790,16129,16468,16807,17146,17485,17824,18163,18502,18841,19180,19256,19332,19408,19484,19560,19560,19430,19300,19390,19490,19583.333
American Samoa,ASM,180.7,180.36,180.02,179.68,179.34,179,178.66,178.32,177.98,177.64,177.3,177,176.7,176.4,176.1,175.8,175.5,175.2,174.9,174.6,174.3,174,173.7,173.4,173.1,172.8,172.5,172.2,171.9,171.6,171.3,171
Andorra,AND,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Angola,AGO,792627.8,791073.63,789519.46,787965.29,786411.12,784856.95,783302.78,781748.61,780194.44,778640.27,777086.1,771535.49,765984.88,760434.27,754883.66,749333.05,743782.44,738231.83,732681.22,727130.61,721580,716029.38,710478.76,704928.14,699377.52,693826.9,688276.2,682725.7,677175.1,671624.4,666073.8,660523.133
Antigua and Barbuda,ATG,101.1,100.44,99.78,99.12,98.46,97.8,97.14,96.48,95.82,95.16,94.5,93.83,93.16,92.49,91.82,91.15,90.48,89.81,89.14,88.47,87.8,87.14,86.48,85.82,85.16,84.5,83.8,83.2,82.5,81.8,81.2,80.533
Argentina,ARG,352040,350214,348388,346562,344736,342910,341084,339258,337432,335606,333780,330616,327452,324288,321124,317960,314796,311632,308468,305304,302140,299906,297672,295438,293204,290970,290100,288990,287910,286810,285730,284636.667
Armenia,ARM,,,3343.12,3341.03,3338.94,3336.85,3334.76,3332.67,3330.58,3328.49,3326.4,3324.32,3322.24,3320.16,3318.08,3316,3313.92,3311.84,3309.76,3307.68,3305.6,3303.52,3301.44,3299.36,3297.28,3295.2,3293.1,3291,3288.9,3286.8,3284.7,3282.6
Aruba,ABW,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
Australia,AUS,1338822,1336753.9,1334685.8,1332617.7,1330549.6,1328481.5,1326413.4,1324345.3,1322277.2,1320209.1,1318141,1315873,1313605,1311337,1309069,1306801,1304533,1302265,1299997,1297729,1295461,1302557.8,1309654.6,1316751.4,1323848.2,1330945,1340372,1340174,1340051,1340051,1340051,1340051
Austria,AUT,37756.7,37819.17,37881.64,37944.11,38006.58,38069.05,38131.52,38193.99,38256.46,38318.93,38381.4,38406.46,38431.52,38456.58,38481.64,38506.7,38531.76,38556.82,38581.88,38606.94,38632,38667.98,38703.96,38739.94,38775.92,38811.9,38847.9,38883.8,38919.7,38955.6,38991.5,39027.4
Azerbaijan,AZE,,,9532.36,9574.84,9617.32,9659.8,9702.28,9744.76,9787.24,9829.72,9872.2,9917.475,9962.749,10008.024,10053.298,10098.573,10143.848,10189.122,10234.397,10279.671,10324.946,10415.731,10506.515,10597.3,10688.085,10778.87,10874.752,10971.848,11087.15,11202.4,11317.7,11432.967
"Bahamas, The",BHS,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6
Bahrain,BHR,2.2,2.35,2.5,2.65,2.8,2.95,3.1,3.25,3.4,3.55,3.7,3.85,4,4.15,4.3,4.45,4.6,4.75,4.9,5.05,5.2,5.36,5.52,5.68,5.84,6,6.2,6.4,6.6,6.8,7,7.2
Bangladesh,BGD,19203.3,19203.298,19203.296,19203.294,19203.292,19203.29,19203.289,19203.287,19203.285,19203.283,19203.281,19171.295,19139.309,19107.323,19075.337,19043.351,19011.365,18979.379,18947.393,18915.406,18883.42,18873.536,18863.652,18853.768,18843.884,18834,18834,18834,18834,18834,18834,18834
Barbados,BRB,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
Belarus,BLR,,,78786,79279,79772,80265,80758,81251,81744,82237,82730,83087,83444,83801,84158,84515,84872,85229,85586,85943,86300,86307,86314,86321,86328,86335,87096,87241,87386,87531,87676,87821
Belgium,BEL,,,,,,,,,,,6673,6695.57,6718.14,6740.71,6763.28,6785.85,6808.42,6830.99,6853.56,6876.13,6898.7,6897.56,6896.42,6895.28,6894.14,6893,6893,6893,6893,6893,6893,6893
Belize,BLZ,16000.3,15859.57,15718.84,15578.11,15437.38,15296.65,15155.92,15015.19,14874.46,14733.73,14593,14525.09,14457.18,14389.27,14321.36,14253.45,14185.54,14117.63,14049.72,13981.81,13913.9,13796.78,13679.66,13562.54,13445.42,13328.3,13216.8,13105.2,12993.7,12882.1,12770.5,12658.9
Benin,BEN,48351.5,47651.5,46951.5,46251.5,45551.5,44851.5,44151.5,43451.5,42751.5,42051.5,41351.5,40851.5,40351.5,39851.5,39351.5,38851.5,38351.5,37851.5,37351.5,36851.5,36351.5,35851.5,35351.5,34851.5,34351.5,33851.5,33351.5,32851.5,32351.5,31851.5,31351.5,30851.5
Bermuda,BMU,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Bhutan,BTN,25067.2,25166.48,25265.76,25365.04,25464.32,25563.6,25662.88,25762.16,25861.44,25960.72,26060,26159.29,26258.58,26357.87,26457.16,26556.45,26655.74,26755.03,26854.32,26953.61,27052.9,27072.68,27092.46,27112.24,27132.02,27151.8,27171.6,27191.4,27211.2,27231,27250.8,27270.6
Bolivia,BOL,578047.2,575343.87,572640.54,569937.21,567233.88,564530.55,561827.22,559123.89,556420.56,553717.23,551013.9,548998.52,546983.14,544967.76,542952.38,540937,538921.62,536906.24,534890.86,532875.48,530860.1,528742.52,526624.94,524507.36,522389.78,520272.2,517506.8,514922.2,512532.4,510337.6,508337.6,506207.733
Bosnia and Herzegovina,BIH,,,21903.3,21804.95,21706.6,21608.25,21509.9,21411.55,21313.2,21214.85,21116.5,21107.51,21098.52,21089.53,21080.54,21071.55,21062.56,21053.57,21044.58,21035.59,21026.6,21142.28,21257.96,21373.64,21489.32,21605,21765.1,21879.1,21879.1,21879.1,21879.1,21879.1
Botswana,BWA,188037,186854,185671,184488,183305,182122,180939,179756,178573,177390,176207,175024,173841,172658,171475,170292,169109,167926,166743,165560,164377,163194,162011,160828,159645,158462,157279,156096,154913,153730,152547,151364
Brazil,BRA,5888980,5851170.6,5813361.2,5775551.8,5737742.4,5699933,5662123.6,5624314.2,5586504.8,5548695.4,5510886,5471378.1,5431870.2,5392362.3,5352854.4,5313346.5,5273838.6,5234330.7,5194822.8,5155314.9,5115807,5100415.2,5085023.4,5069631.6,5054239.8,5038848,5020821,5000916,4990514,4977985,4966196,4953913.667
British Virgin Islands,VGB,37.1,37.06,37.02,36.98,36.94,36.9,36.86,36.82,36.78,36.74,36.7,36.67,36.64,36.61,36.58,36.55,36.52,36.49,36.46,36.43,36.4,36.36,36.32,36.28,36.24,36.2,36.2,36.2,36.2,36.2,36.2,36.2
Brunei Darussalam,BRN,4130,4114,4098,4082,4066,4050,4034,4018,4002,3986,3970,3953,3936,3919,3902,3885,3868,3851,3834,3817,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
Bulgaria,BGR,33270,33318,33366,33414,33462,33510,33558,33606,33654,33702,33750,34112,34474,34836,35198,35560,35922,36284,36646,37008,37370,37562,37754,37946,38138,38330,38410,38540,38670,38800,38930,39060
Burkina Faso,BFA,77166,76665.9,76165.8,75665.7,75165.6,74665.5,74165.4,73665.3,73165.2,72665.1,72165,71665,71165,70665,70165,69665,69165,68665,68165,67665,67165,66664.8,66164.6,65664.4,65164.2,64664,64164,63664,63164,62664,62164,61664
Burundi,BDI,2764.8,2682.26,2599.72,2517.18,2434.64,2352.1,2269.56,2187.02,2104.48,2021.94,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,2110.8,2282.2,2453.6,2625,2796.4,2796.4,2796.4,2796.4,2796.4,2796.4,2796.4
Cabo Verde,CPV,153.8,178.14,202.48,226.82,251.16,275.5,299.84,324.18,348.52,372.86,397.2,400.2,403.2,406.2,409.2,412.2,415.2,418.2,421.2,424.2,427.2,430.2,433.2,436.2,439.2,442.2,445.2,448.2,451.2,454.2,457.2,460.2
Cambodia,KHM,110047.9,109824.11,109600.32,109376.53,109152.74,108928.95,108705.16,108481.37,108257.58,108033.79,107810,107618.23,107426.46,107234.69,107042.92,106851.15,106659.38,106467.61,106275.84,106084.07,105892.3,102407.48,98922.66,95437.84,91953.02,88468.2,86911.3,85354.4,83797.5,82240.6,80683.7,79126.8
Cameroon,CMR,225000,224097.49,223194.98,222292.47,221389.96,220487.45,219584.94,218682.43,217779.92,216877.41,215974.9,215277.89,214580.88,213883.87,213186.86,212489.85,211792.84,211095.83,210398.82,209701.81,209004.8,208444.8,207884.8,207324.8,206764.8,206204.8,205644.8,205084.8,204524.8,203964.8,203404.8,202844.8
Canada,CAN,3482729.3,3482258.34,3481787.38,3481316.42,3480845.46,3480374.5,3479903.54,3479432.58,3478961.62,3478490.66,3478019.7,3477539.94,3477060.18,3476580.42,3476100.66,3475620.9,3475141.14,3474661.38,3474181.62,3473701.86,3473222.1,3472809.1,3472396.1,3471983.1,3471570.1,3471157.1,3470760.4,3470390.5,3470020.7,3469650.8,3469281,3468911.133
